id,word_en,word_fr,example_en
3135,glow,"lueur, éclat, briller","She felt a warm glow of satisfaction at having completed the work."
3136,dreamed,"rêva, a rêvé","She had always dreamed of publishing a book that would help people."
3137,gratefully,"avec gratitude, avec reconnaissance","She gratefully accepted the very generous offer of help."
3138,aged,"vieilli, âgé, vieux","The aged professor had taught at the university for over forty years."
3139,damaged,"endommagé, abîmé","The very old painting had been slightly damaged during the long journey."
3140,revenge,"vengeance, revanche","She chose forgiveness over revenge and found great peace in doing so."
3141,vulgar,"vulgaire, grossier, commun","She found any form of vulgar behaviour deeply offensive and upsetting."
3142,careless,"négligent, imprudent, insouciant","She was never careless with the feelings of those around her."
3143,sore,"douloureux, endolori, irrité","She was very sore after the long and difficult mountain walk."
3144,erected,"érigea, a construit","A very beautiful monument was erected in her honour after her death."
3145,comparatively,"comparativement, relativement","The journey was comparatively short compared to others she had made."
3146,tremendous,"énorme, formidable, extraordinaire","She made a tremendous effort to ensure everyone felt welcome."
3147,undoubtedly,"sans aucun doute, incontestablement","She was undoubtedly the most talented person in the whole group."
3148,afforded,"permit, a fourni","The old window afforded a very beautiful view of the whole valley."
3149,agony,"agonie, souffrance","She waited in agony for the results of the very important examination."
3150,ridiculous,"ridicule, absurde","She refused to be put in a ridiculous position by the unreasonable demands."
3151,convenient,"commode, pratique, convenable","She chose the most convenient time for everyone to meet."
3152,neighbourhood,"quartier, voisinage","She was very well known and loved throughout her whole neighbourhood."
3153,meantime,"entre-temps, intervalle","She kept herself very busy in the meantime while waiting for news."
3154,specified,"spécifié, précisé","She completed all the work within the time specified by the committee."
3155,inform,"informer, aviser","She made sure to inform everyone well in advance of the planned changes."
3156,deceived,"trompa, a trompé","She felt deeply hurt at having been so cruelly deceived by a friend."
3157,wedding,"mariage, noces","She helped her dearest friend to plan every detail of the wedding."
3158,seize,"saisir, s'emparer de","She was determined to seize every opportunity that came her way."
3159,uncertain,"incertain, indécis","She felt very uncertain about the best course of action to take."
3160,disappointed,"déçu, a déçu","She was deeply disappointed but refused to let it show to anyone."
3161,pious,"pieux, dévot","She was a very pious and deeply sincere person of great faith."
3162,leisure,"loisir, temps libre","She used her precious leisure time to pursue her many interests."
3163,inn,"auberge, taverne","They found a very warm and welcoming old inn at the edge of the village."
3164,reception,"réception, accueil","She received a very warm and generous reception from the audience."
3165,column,"colonne, rubrique","She wrote a very popular weekly column for the local newspaper."
3166,affectionate,"affectueux, aimant","She was a very affectionate and warmly demonstrative person."
3167,railroad,"chemin de fer, voie ferrée","The old railroad ran through the heart of the beautiful valley."
3168,wages,"salaire, gages","She insisted that all her workers received fair and decent wages."
3169,moderate,"modéré, raisonnable, modérer","She took a very moderate and carefully considered approach to everything."
3170,searched,"chercha, a fouillé","She searched through all the old papers looking for the missing letter."
3171,indifference,"indifférence, détachement","She could not bear the cold indifference of those who would not help."
3172,neglect,"négligence, négliger","She would never neglect her responsibilities however tired she felt."
3173,unlike,"contrairement à, différent de","Unlike many others, she always kept every single promise she made."
3174,blows,"coups, souffle","She endured many hard blows in life but always emerged stronger."
3175,roar,"rugissement, grondement, rugir","She could hear the roar of the sea from her bedroom window."
3176,bark,"écorce, aboiement, aboyer","The old dog gave a single sharp bark and then fell silent again."
3177,authors,"auteurs, écrivains","She had read the works of all the great authors of the century."
3178,dig,"creuser, fouiller","She loved to dig in the garden on warm and quiet summer afternoons."
3179,employ,"employer, utiliser, emploi","She decided to employ a very different approach to solve the problem."
3180,nobles,"nobles, aristocrates","The old story told of brave knights and very noble nobles."
3181,temporary,"temporaire, provisoire","The arrangement was meant to be only temporary but lasted for years."
3182,satisfactory,"satisfaisant, acceptable","The final result was very satisfactory and pleased everyone greatly."
3183,identify,"identifier, reconnaître","She was able to identify the source of the problem very quickly."
3184,trained,"entraîné, formé, qualifié","She was very highly trained and widely respected in her profession."
3185,assembly,"assemblée, rassemblement, montage","She addressed the full assembly with great confidence and authority."
